CSC1113, Programing Techniques
CSC1122,Computer System I
CSC113a,Internet Services and Web Development
CSC1142,System Analyst and Design
CSC1153,Laborotary Assignments
CSC1213,Database Management System
CSC1223,Data Structures and Algorithms
CSC1233,Software Engeneering
CSC1242,Object Oriented System Development
CSC1251,Computer Laboratory
CSC2113,Data Communication and Computer Networks
CSC2123,Object Oriented Programming
CSC2133,Operating System
CSC2143,Computer Graghics and Image Processing
CSC2222,Computer System II
CSC2213,Rapid Application Development
CSC2233,Internet Programming
CSC2242,Advanced Database Management
CSC2252,Project Management
CSC2263,Multimedia and Video Producion
CSC2272,Data and Network Security
